Date,ALR,ATB,BIO,BRD,BVB,CMP,COTE,DIGI,EL,EVER,FP,M,ROCE,SFG,SIF1,SIF4,SIF5,SNG,SNN,SNP,TEL,TGN,TLV,TRANSI,TRP
03/11/2017,2.29,0.48,0.25,9.65,23.9,1.03,16.85,33.58,9.42,1.06,0.61,5.82,0.11,25,2.49,0.86,1.67,19.08,4.14,0.21,23.17,293.53,1.18,0.2,0.12
10/11/2017,2.46,0.48,0.25,9.99,24.72,1.1,17.84,32.56,9.77,1.14,0.62,5.78,0.11,28.54,2.6,0.9,1.74,19.97,4.34,0.22,23.13,297.77,1.17,0.21,0.12
17/11/2017,2.33,0.48,0.25,10.16,23.9,1.06,17.74,32.65,9.37,1.13,0.61,5.7,0.1,28.79,2.62,0.9,1.77,20.51,4.26,0.22,22.9,297.01,1.18,0.21,0.12
24/11/2017,2.31,0.48,0.25,10.16,23.73,1.04,17.74,33.49,9.13,1.18,0.6,5.67,0.1,28.88,2.58,0.93,1.79,20.64,4.25,0.21,23.49,300.06,1.2,0.2,0.12
01/12/2017,2.31,0.48,0.25,10.15,23.65,1.01,17.81,32.56,9.02,1.18,0.61,5.72,0.1,29.23,2.57,0.94,1.77,20.51,4.23,0.21,23.99,303.88,1.2,0.2,0.12
08/12/2017,2.38,0.48,0.24,10.1,23.57,0.98,17.66,32.09,8.5,1.21,0.61,5,0.1,31.29,2.66,0.95,1.81,20.32,4.08,0.21,23.58,291.66,1.19,0.21,0.12
15/12/2017,2.26,0.48,0.24,9.8,22.66,0.9,17.66,33.4,8.33,1.21,0.62,5.67,0.09,36.21,2.71,0.95,1.83,19.71,4,0.21,22.58,295.48,1.16,0.2,0.12
22/12/2017,2.39,0.47,0.24,10.18,23.07,0.96,17.77,34.79,9.04,1.22,0.62,5.68,0.12,34.57,2.81,0.94,1.84,20.26,4.08,0.21,22.68,296.25,1.21,0.2,0.12
29/12/2017,2.43,0.47,0.24,10.12,22.74,0.97,17.74,35.35,8.68,1.23,0.63,5.35,0.12,35.09,2.77,0.93,1.82,20.13,4.09,0.21,22.18,293.19,1.18,0.2,0.12
05/01/2018,2.4,0.47,0.25,10.32,23.24,0.99,18.27,34.98,8.91,1.24,0.65,5.77,0.12,35.35,2.85,0.96,1.85,20.77,4.28,0.23,23.26,308.08,1.2,0.2,0.13
12/01/2018,2.42,0.47,0.25,10.74,23.48,1.03,19.02,35.35,9.1,1.3,0.66,6,0.12,36.64,2.88,0.98,1.96,21.77,4.36,0.23,22.81,319.15,1.27,0.21,0.13
19/01/2018,2.44,0.47,0.25,10.74,24.14,1.02,19.59,34.51,9.14,1.31,0.67,6.1,0.12,36.3,2.91,1,2.08,22.57,4.54,0.23,23.67,322.97,1.28,0.21,0.13
26/01/2018,2.57,0.47,0.25,10.79,24.72,1.02,21.38,34.7,9.34,1.34,0.66,5.83,0.12,34.31,3,1.01,2.08,22.64,4.6,0.23,24.26,329.84,1.32,0.21,0.13
02/02/2018,2.57,0.47,0.25,10.37,24.06,0.97,20.95,34.42,9.22,1.31,0.66,5.5,0.12,33.45,3.03,0.95,2,21.74,4.57,0.23,23.76,318.39,1.3,0.21,0.13
